,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
51,0,4,226956,11,9,4,8,3,4,0,0,0,1,0,0
52,3,4,51835,14,15,2,10,5,4,0,0,3,3,16,1
53,3,1,251585,9,13,0,4,1,4,1,0,0,3,39,1
54,3,5,109832,11,9,0,4,1,4,1,0,0,3,39,0
55,2,4,237993,15,10,2,13,0,4,1,0,0,2,39,1
56,3,4,216666,4,3,2,7,0,4,1,0,0,2,26,0
57,1,4,56352,8,11,2,8,0,4,1,0,0,2,33,0
58,2,4,147372,11,9,2,1,0,4,1,0,0,3,39,0
59,1,4,188146,11,9,2,7,0,4,1,2,0,2,39,0
60,1,4,59496,9,13,2,12,0,4,1,1,0,2,39,0
61,1,0,293936,5,4,3,0,1,4,1,0,0,2,0,0
62,3,4,149640,11,9,2,14,0,4,1,0,0,2,39,0
63,2,4,116632,10,16,2,10,0,4,1,0,0,2,39,1
64,1,4,105598,15,10,0,13,1,4,1,0,0,3,39,0
65,2,4,155537,11,9,2,3,0,4,1,0,0,2,39,0
66,1,4,183175,15,10,0,1,1,4,0,0,0,2,39,0
67,3,4,169846,11,9,2,1,5,4,0,0,0,2,39,1
68,3,5,191681,15,10,2,4,0,4,1,0,0,3,39,1
69,0,0,200681,15,10,4,0,3,4,1,0,0,2,39,0
70,0,4,101509,15,10,4,10,3,4,1,0,0,1,39,0
71,1,4,309974,9,13,5,12,3,2,0,0,0,2,39,0
72,1,6,162298,9,13,2,12,0,4,1,0,0,4,39,1
73,0,4,211678,15,10,4,7,1,4,1,0,0,2,39,0
74,4,4,124744,15,10,2,10,2,4,1,0,0,0,39,0
75,1,4,213921,11,9,4,8,3,4,1,0,0,2,26,0
76,2,4,32214,7,12,2,1,0,4,1,0,0,2,39,0
77,4,0,212759,0,6,2,0,0,4,1,0,0,0,39,0
78,0,4,309634,1,7,4,8,3,4,0,0,0,1,39,0
79,1,2,125927,5,4,2,5,0,4,1,0,0,2,39,0
80,0,4,446839,11,9,4,12,1,4,1,0,0,1,39,0
81,3,4,276515,9,13,2,8,0,4,1,0,0,2,5,0
82,3,4,51618,11,9,2,8,5,4,0,0,0,2,39,0
83,4,4,159937,11,9,2,12,0,4,1,0,0,3,39,0
84,2,4,343591,11,9,0,3,1,4,0,4,0,2,39,1
85,3,4,346253,11,9,0,12,3,4,0,0,0,1,39,0
86,3,2,268234,11,9,2,11,0,4,1,0,0,2,39,1
87,1,4,202051,12,14,2,10,0,4,1,0,0,3,39,0
88,1,4,54334,6,5,4,12,1,4,1,0,0,2,39,0
89,2,1,410867,10,16,4,10,1,4,0,0,0,3,39,1
90,4,4,249977,8,11,2,10,0,4,1,0,0,2,39,0
91,2,4,286730,15,10,0,3,4,4,0,0,0,2,39,0
92,1,4,212563,15,10,0,7,4,2,0,0,0,1,39,0
93,1,4,117747,11,9,2,12,5,1,0,0,1,1,0,0
94,1,2,226296,9,13,2,11,0,4,1,0,0,2,39,1
95,1,2,115585,15,10,4,6,1,4,1,0,0,3,39,0
96,3,6,191277,10,16,2,10,0,4,1,0,3,3,39,1
97,2,4,202683,15,10,2,12,0,4,1,0,0,3,39,1
98,3,4,171095,7,12,0,4,4,4,0,0,0,2,9,0
99,1,1,249409,11,9,4,8,3,2,1,0,0,2,39,0
100,4,4,124191,12,14,2,4,0,4,1,0,0,2,39,1
101,2,4,198282,9,13,2,4,0,4,1,4,0,3,39,1
102,3,6,149116,12,14,4,10,1,4,0,0,0,3,39,0
103,0,4,188300,15,10,4,13,3,4,0,0,0,2,39,0
104,1,4,103432,11,9,4,3,1,4,1,0,0,2,39,0
105,1,5,317660,11,9,2,3,0,4,1,3,0,2,39,1
106,0,0,304873,0,6,4,0,3,4,0,4,0,1,39,0
107,1,4,194901,1,7,4,6,3,4,1,0,0,2,39,0
108,1,2,189265,11,9,4,1,1,4,0,0,0,2,39,0
109,2,4,124692,11,9,2,6,0,4,1,0,0,2,39,0
110,0,4,432376,9,13,4,12,2,4,1,0,0,2,39,0
111,2,4,65324,14,15,2,10,0,4,1,0,0,2,39,1
112,4,6,335605,11,9,2,8,0,4,1,0,2,3,2,1
113,1,4,377869,15,10,2,12,5,4,0,2,0,1,39,0
114,2,4,102864,11,9,4,7,3,4,0,0,0,2,39,0
115,3,4,95647,6,5,2,6,0,4,1,0,0,3,39,0
116,4,5,303090,15,10,2,12,0,4,1,0,0,3,39,0
117,3,2,197371,8,11,2,3,0,2,1,0,0,2,39,1
118,3,4,247552,15,10,2,12,0,4,1,0,0,3,39,0
119,0,4,102632,11,9,4,3,1,4,1,0,0,2,39,0
120,0,4,199915,15,10,4,8,3,4,0,0,0,2,39,0
121,2,4,118853,9,13,2,4,0,4,1,0,0,3,39,0
122,1,4,77143,9,13,4,4,3,2,1,0,0,2,11,0
123,1,7,267989,9,13,2,10,0,4,1,0,0,3,39,1
124,0,4,301606,15,10,4,8,3,2,1,0,0,1,39,0
125,3,4,287828,9,13,2,4,5,4,0,0,0,2,39,1
126,0,4,111697,15,10,4,1,3,4,0,0,2,1,39,0
127,1,4,114937,7,12,2,1,0,4,1,0,0,2,39,1
128,1,0,129305,11,9,2,0,0,4,1,0,0,2,39,0
129,2,4,365739,15,10,0,3,1,4,1,0,0,2,39,0
130,1,4,69621,7,12,4,12,1,4,0,0,0,3,39,0
131,0,4,43323,11,9,4,8,1,4,0,0,2,2,39,0
132,2,6,120985,11,9,2,3,0,4,1,2,0,1,39,0
133,2,4,254202,9,13,2,12,0,4,1,0,0,3,39,0
134,3,4,146195,7,12,0,13,1,2,0,0,0,2,39,0
135,2,1,125933,12,14,2,10,0,4,1,0,0,2,20,1
136,2,6,56920,11,9,2,3,0,4,1,0,0,3,39,0
137,1,4,163127,8,11,2,1,5,4,0,0,0,1,39,0
138,0,4,34310,15,10,4,12,3,4,1,0,0,0,39,0
139,3,4,81973,15,10,2,3,0,1,1,0,0,2,39,1
140,4,5,66614,11,9,2,3,0,4,1,0,0,2,39,0
141,1,4,232782,15,10,4,12,3,4,0,0,0,2,39,0
142,0,4,316868,15,10,4,8,3,4,1,0,0,1,26,0
143,2,4,196584,8,11,4,10,1,4,0,0,1,2,39,1
144,4,4,105376,15,10,4,13,2,4,1,0,0,2,39,0
145,1,4,185814,11,9,4,14,4,2,0,0,0,1,39,0
146,0,4,175374,15,10,2,8,0,4,1,0,0,1,39,0
147,2,4,108293,11,9,6,8,4,4,0,0,0,1,39,0
148,4,4,181232,1,7,2,3,0,4,1,0,3,2,39,0
149,2,0,174662,15,10,0,0,1,4,0,0,0,2,39,0
150,3,2,186009,15,10,0,1,4,4,0,0,0,2,26,0
151,1,4,198183,11,9,4,1,1,4,0,0,0,2,39,0
152,1,4,163003,9,13,4,4,2,1,0,0,0,2,30,0
153,0,4,296158,11,9,4,3,3,4,1,0,0,1,39,0
154,3,0,252903,11,9,0,0,1,4,1,0,0,2,39,1
155,3,4,187715,11,9,2,3,0,4,1,0,0,3,39,0
156,0,4,214542,9,13,4,6,1,4,1,0,0,2,39,0
157,4,6,494223,15,10,5,12,4,2,1,0,2,0,39,0
158,1,4,191535,11,9,0,3,1,4,1,0,0,3,39,0
159,2,4,228456,9,13,5,8,2,2,1,0,0,3,39,0
160,4,0,38317,3,2,0,0,1,4,0,0,0,0,39,0
161,0,4,252752,11,9,4,8,4,4,0,0,0,2,39,0
162,2,5,78374,12,14,0,4,4,1,0,0,0,2,39,0
163,1,4,88419,11,9,4,4,1,1,0,0,0,2,9,0
164,2,6,201080,12,14,2,12,0,4,1,0,0,2,39,1
165,2,4,207157,15,10,0,8,4,4,0,0,0,2,26,0
166,2,1,235485,7,12,4,4,1,4,1,0,0,2,39,0
167,3,7,102628,12,14,6,11,4,4,1,0,0,2,39,0
168,0,4,25828,1,7,4,6,3,4,1,0,0,0,39,0
169,4,2,54826,8,11,6,10,1,4,0,0,0,0,39,0
170,1,4,124953,11,9,4,8,1,4,1,0,3,2,39,0
171,1,7,175325,11,9,2,11,0,4,1,0,0,2,39,0
172,3,4,96062,15,10,2,12,0,4,1,0,3,2,39,1
173,1,4,428030,9,13,4,3,1,4,1,0,0,3,39,0
174,1,7,149624,9,13,2,10,0,4,1,0,0,2,39,1
175,1,4,253814,11,9,3,12,4,4,0,0,0,1,39,0
176,0,4,312956,11,9,4,3,3,2,1,0,0,2,39,0
177,1,4,483777,11,9,4,6,1,2,1,0,0,2,39,0
178,0,4,183930,11,9,4,8,3,4,1,0,0,0,39,0
179,1,4,37274,9,13,2,10,0,4,1,0,0,4,39,0
180,2,2,181344,15,10,2,4,0,2,1,0,0,2,39,1
181,2,4,114580,15,10,0,1,1,4,0,0,0,2,39,0
182,1,4,633742,15,10,4,3,1,2,1,0,0,2,39,0
183,2,4,286370,5,4,2,7,0,4,1,0,0,2,26,1
184,2,1,29054,15,10,2,1,0,4,1,0,0,2,39,1
185,1,4,304030,11,9,2,1,0,2,1,0,0,2,39,0
186,2,6,143129,9,13,0,4,1,4,0,0,0,2,39,0
187,3,0,135105,9,13,0,0,1,4,0,0,0,3,39,0
188,1,4,99928,12,14,2,10,5,4,0,0,0,3,39,0
189,4,7,109567,10,16,2,10,0,4,1,0,0,0,39,1
190,2,4,155222,15,10,0,7,1,2,0,0,0,1,39,0
191,0,4,159567,15,10,2,7,0,4,1,0,0,2,39,0
192,2,2,523910,9,13,2,3,0,2,1,0,0,2,39,0
193,3,4,120939,15,10,2,13,0,4,1,0,0,2,39,0
194,2,1,130760,9,13,2,13,0,4,1,0,0,1,39,0
195,0,4,197387,4,3,2,14,2,4,1,0,0,2,26,0
196,2,4,99374,15,10,0,3,1,4,1,0,0,2,39,0
197,2,1,56795,12,14,4,4,1,4,0,4,0,3,39,1
198,1,4,138992,12,14,2,10,2,4,1,2,0,2,39,1
199,0,6,32921,11,9,4,12,1,4,1,0,0,2,39,0
200,1,4,397317,12,14,4,10,1,4,0,0,2,2,39,0
201,0,0,170653,11,9,4,0,3,4,1,0,0,2,22,0
202,3,4,259323,9,13,2,4,0,4,1,0,0,3,39,1
203,2,2,254817,15,10,4,10,1,4,0,0,1,2,39,0
204,2,7,48211,11,9,0,1,4,4,0,0,0,1,39,0
205,0,4,140164,1,7,4,12,3,4,0,0,0,2,39,0
206,2,4,128757,9,13,2,8,0,2,1,2,0,2,39,1
207,1,4,36270,11,9,0,3,1,4,1,0,0,3,39,0
208,4,5,210563,11,9,2,12,5,4,0,4,0,1,39,1
209,0,4,65368,1,7,4,12,3,4,0,0,0,0,39,0
210,2,2,160943,11,9,2,14,0,2,1,0,0,2,39,0
211,2,4,208358,11,9,2,3,0,4,1,0,0,2,39,1
212,1,4,153790,15,10,4,12,1,0,0,0,0,2,39,0
213,4,4,85815,11,9,2,3,0,1,1,0,0,2,39,0
214,3,5,125417,5,4,2,7,0,4,1,0,0,2,39,1
215,2,4,635913,9,13,4,4,1,2,1,0,0,3,39,1
216,3,4,313321,7,12,0,12,1,4,0,0,0,2,39,0
217,2,4,182609,9,13,2,12,0,4,1,0,0,3,31,0
218,2,4,109434,9,13,2,10,0,4,1,0,0,3,39,0
219,0,4,255004,0,6,4,3,1,4,1,0,0,2,39,0
220,1,4,197860,15,10,2,6,0,4,1,0,0,2,39,0
221,4,0,187656,3,2,0,0,1,4,1,0,0,2,39,0
222,4,4,51744,11,9,4,8,1,2,1,0,4,2,39,0
223,3,4,176681,11,9,2,1,0,2,1,0,0,0,39,0
224,3,2,140359,13,1,4,7,1,4,0,0,0,1,39,0
225,0,4,243313,11,9,4,12,3,4,0,0,0,2,39,0
226,4,0,24215,0,6,0,0,1,0,0,0,0,0,39,0
227,4,6,167687,11,9,2,5,0,4,1,1,0,3,39,0
228,4,4,314209,8,11,6,1,1,4,0,0,0,0,4,0
229,4,4,176796,11,9,0,1,1,4,0,0,0,2,39,0
230,1,4,538583,1,7,5,14,1,2,1,2,0,2,39,0
231,2,4,130408,11,9,0,12,4,2,0,0,0,2,39,0
232,0,4,159732,15,10,4,1,1,4,1,0,0,2,39,0
233,1,4,110978,15,10,0,3,2,3,0,0,0,2,39,0
234,1,4,76714,14,15,4,10,1,4,1,0,0,3,39,1
235,4,7,268700,11,9,2,8,0,4,1,0,0,2,39,0
236,2,7,170525,15,10,4,1,1,4,0,0,0,2,39,0
237,2,4,180138,9,13,2,4,0,4,1,0,0,3,20,1
238,2,2,115076,12,14,2,4,0,4,1,0,0,4,39,1
239,0,4,115458,11,9,4,14,3,4,1,0,0,2,39,0
240,2,4,347890,9,13,2,10,0,4,1,0,0,2,39,1
241,2,6,196001,11,9,2,8,5,4,0,0,0,0,39,0
242,0,7,273905,7,12,2,11,0,4,1,0,0,3,39,0
243,0,0,119156,15,10,4,0,3,4,1,0,0,0,39,0
244,2,4,179488,15,10,0,3,1,4,1,0,2,2,39,0
245,4,4,203580,11,9,2,1,0,4,1,0,0,1,0,0
246,4,4,236596,11,9,2,1,0,4,1,0,0,2,39,1
247,1,4,183916,11,9,4,8,1,4,0,0,0,1,39,0
248,2,4,207578,7,12,2,13,0,4,1,0,3,3,39,1
249,2,4,153141,11,9,2,1,0,4,1,0,0,2,0,0
250,2,4,112763,14,15,2,10,5,4,0,0,0,2,39,1
251,2,4,390781,9,13,2,1,5,2,0,0,0,2,39,0
252,4,2,171328,0,6,6,8,4,2,0,0,0,1,39,0
253,0,2,27382,15,10,4,1,3,4,1,0,0,2,39,0
254,4,4,259014,15,10,4,14,1,4,1,0,0,0,39,0
255,2,6,303044,11,9,2,5,0,1,1,0,0,2,1,1
256,0,4,117789,11,9,4,8,3,4,0,0,0,2,39,0
257,1,4,172579,11,9,5,8,1,4,0,0,0,1,39,0
258,2,4,187666,8,11,6,4,1,4,0,0,0,2,39,0
259,3,4,204518,5,4,0,3,1,4,1,0,0,2,39,0
260,2,4,150042,9,13,0,10,3,4,0,0,0,2,39,0
261,2,4,98092,11,9,2,12,0,4,1,0,0,3,39,0
262,0,4,245918,1,7,4,8,3,4,1,0,0,0,39,0
263,4,4,146013,15,10,2,12,0,4,1,2,0,2,39,0
264,1,4,378322,1,7,2,3,0,4,1,0,0,2,39,0
265,2,5,257295,15,10,2,4,0,1,1,0,0,4,37,1
266,0,0,218956,15,10,4,0,3,4,1,0,0,1,2,0
267,4,4,21174,11,9,2,4,0,4,1,0,0,2,39,1
268,1,4,185480,9,13,4,10,1,4,0,0,0,2,39,0
269,1,4,222205,11,9,2,3,5,4,0,0,0,2,39,1
270,4,4,69867,11,9,2,4,0,4,1,0,0,2,39,1
271,0,4,191260,6,5,4,8,3,4,1,1,0,1,39,0
272,3,6,30653,12,14,2,5,0,4,1,1,0,4,39,0
273,1,2,209109,12,14,4,10,3,4,1,0,0,1,39,0
274,1,4,70377,11,9,0,10,3,4,0,0,0,2,39,0
275,2,4,477983,11,9,2,6,0,2,1,0,0,2,39,0
276,2,4,170924,15,10,2,3,0,4,1,2,0,2,39,1
277,1,4,190174,15,10,4,4,1,4,0,0,0,2,39,0
278,0,4,193787,15,10,4,13,3,4,0,0,0,2,39,0
279,0,4,279472,15,10,2,7,5,4,0,2,0,3,39,1
280,0,4,34918,9,13,4,10,1,4,0,0,0,0,11,0
281,2,2,97688,15,10,2,3,0,4,1,2,0,2,39,1
282,1,4,175413,7,12,0,12,4,2,0,0,0,2,39,0
283,4,4,173960,9,13,0,10,1,4,0,0,0,2,39,0
284,0,4,205759,11,9,4,6,3,4,1,0,0,2,39,0
285,4,1,425161,12,14,2,12,0,4,1,4,0,2,39,1
286,2,4,220531,14,15,2,10,0,4,1,0,0,3,39,1
287,3,4,176609,15,10,0,8,1,4,1,0,0,2,39,0
288,0,4,371987,9,13,4,4,1,4,0,0,0,2,39,0
289,3,4,193884,5,4,2,3,0,4,1,0,0,2,7,0
290,2,4,200352,9,13,2,10,0,4,1,0,0,2,39,0
291,1,4,127595,11,9,0,10,1,4,0,0,0,2,39,0
292,1,2,220419,9,13,4,11,1,4,1,0,0,3,39,0
293,0,4,231931,15,10,4,12,3,4,1,0,0,2,39,0
294,1,4,248402,9,13,4,13,4,2,0,0,0,2,39,0
295,4,4,111095,11,9,2,14,0,4,1,0,0,0,39,0
296,2,5,57424,9,13,0,12,1,4,0,0,0,3,39,0
297,2,0,157443,12,14,2,0,5,1,0,1,0,2,0,0
298,0,4,278130,11,9,4,3,3,4,1,0,0,2,39,0
299,2,4,169469,11,9,0,12,1,4,1,0,0,4,39,0
300,3,4,146268,9,13,2,1,0,4,1,3,0,2,39,1
301,0,4,153718,15,10,4,8,1,1,0,0,0,1,39,0
302,1,4,217460,11,9,2,14,0,4,1,0,0,2,39,1
303,3,4,238638,11,9,2,12,0,4,1,2,0,2,39,1
304,0,4,303296,15,10,2,1,5,1,0,0,0,2,25,0
305,2,4,173321,11,9,0,1,1,4,0,0,0,2,39,0
306,1,4,193945,7,12,4,13,1,4,1,0,0,2,39,0
307,3,4,83082,7,12,4,10,1,4,0,0,0,1,39,0
308,1,4,193815,7,12,2,1,0,4,1,0,0,2,39,1
309,2,5,34987,15,10,2,5,0,4,1,0,0,3,39,1
310,1,4,59306,9,13,4,12,1,4,1,0,0,2,39,0
311,1,4,142897,12,14,2,4,0,1,1,2,0,1,36,1
312,0,0,860348,15,10,4,0,3,2,0,0,0,1,39,0
313,2,6,205607,9,13,0,10,1,2,0,0,0,2,39,1
314,0,4,199698,15,10,4,12,3,4,1,0,0,0,39,0
315,0,4,191954,15,10,4,7,1,4,1,0,0,2,39,0
316,4,6,138714,15,10,2,12,0,4,1,0,0,2,39,0
317,0,4,399087,4,3,2,7,2,4,0,0,0,2,26,0
318,1,4,423158,15,10,4,13,1,4,0,0,0,2,39,0
319,4,4,159841,11,9,6,8,1,4,0,0,0,1,39,0
320,2,6,174308,11,9,2,4,0,4,1,0,0,2,39,0
321,2,4,50356,15,10,2,3,0,4,1,0,1,3,39,0
322,1,4,186110,11,9,0,14,1,4,1,0,0,2,39,0
323,1,4,200381,1,7,4,4,1,4,0,0,0,2,39,0
324,4,6,174309,12,14,2,3,0,4,1,0,0,0,39,0
325,4,6,78383,11,9,2,5,0,4,1,0,0,2,39,0
326,0,0,211601,8,11,4,0,3,2,0,0,0,0,39,0
327,2,4,187728,15,10,2,10,5,4,0,0,2,3,39,1
328,4,6,321171,11,9,2,6,0,4,1,0,0,2,39,0
329,4,4,127921,11,9,4,14,1,4,1,1,0,3,39,0
330,2,4,206565,15,10,4,3,1,2,1,0,0,2,39,0
331,1,4,224563,9,13,4,1,1,4,1,0,0,2,39,0
332,3,4,178686,8,11,4,8,1,4,1,0,0,2,39,0
333,3,2,98545,0,6,2,1,0,4,1,0,0,2,39,0
334,3,4,242606,11,9,2,14,0,4,1,0,0,2,39,0
335,0,4,270942,4,3,4,8,2,4,1,0,0,3,26,0
336,1,4,94235,11,9,4,3,2,4,1,0,0,2,39,0
337,3,4,71195,12,14,4,10,1,4,1,0,0,3,39,0
338,0,4,104112,11,9,4,12,4,2,1,0,0,1,14,0
339,2,4,261192,11,9,2,8,0,2,1,0,0,2,39,0
340,1,4,94936,7,12,4,12,1,4,1,0,0,2,39,0
341,2,4,296478,8,11,2,3,0,4,1,2,0,2,39,1
342,2,7,119272,11,9,2,11,0,4,1,2,0,2,39,1
343,1,4,85043,11,9,4,5,1,4,1,0,0,0,39,0
344,0,7,293364,15,10,4,11,3,2,0,0,0,2,39,0
345,2,6,241895,9,13,4,12,1,4,1,0,0,2,39,0
346,4,0,36135,1,7,2,0,0,4,1,0,0,0,39,0
347,1,0,151989,8,11,0,0,4,4,0,0,0,2,39,0
348,4,4,101128,7,12,3,8,1,4,1,0,0,1,20,0
349,1,4,156464,9,13,4,10,3,4,1,0,0,1,39,0
350,1,4,117963,9,13,2,4,0,4,1,0,0,2,39,1
351,1,4,192262,11,9,2,8,0,4,1,0,0,2,39,0
352,1,4,111363,9,13,2,4,0,4,1,0,0,2,39,1
353,3,2,329752,1,7,2,14,0,4,1,0,0,1,39,0
354,4,0,372020,9,13,2,0,0,4,1,0,0,2,39,1
355,2,1,95432,11,9,2,1,0,4,1,0,0,2,39,1
356,4,4,161400,1,7,6,8,4,3,1,0,0,2,39,0
357,2,4,96129,8,11,2,13,0,4,1,0,0,2,39,1
358,2,4,111949,11,9,2,1,5,4,0,0,0,1,39,0
359,1,6,117125,6,5,2,3,0,4,1,0,0,2,32,0
360,2,4,348022,0,6,2,8,5,4,0,0,0,1,39,0
361,4,4,270092,12,14,2,10,0,4,1,0,0,2,39,1
362,2,4,180609,9,13,2,14,0,4,1,0,0,2,39,0
363,2,4,174575,9,13,0,4,1,4,1,0,1,2,39,1
364,0,4,410439,11,9,3,12,1,4,1,0,0,3,39,0
365,1,4,92262,11,9,2,3,0,4,1,0,0,2,39,0
366,4,6,183081,15,10,2,12,0,4,1,0,0,2,39,0
367,0,4,362589,7,12,4,12,1,4,0,0,0,0,39,0
368,4,4,212448,9,13,0,4,1,4,0,0,0,2,39,1
369,2,4,481060,11,9,0,12,4,4,0,0,0,2,39,0
370,1,1,185885,15,10,4,1,4,4,0,0,0,0,39,0
371,0,4,89821,1,7,4,8,3,4,1,0,0,0,39,0
372,2,7,184018,8,11,2,7,0,4,1,0,0,2,39,1
373,2,4,256649,11,9,2,7,0,2,1,0,0,2,39,0
374,2,4,160323,11,9,4,3,1,2,1,0,0,2,39,0
375,0,2,350845,15,10,4,1,3,4,0,0,0,0,39,0
376,1,4,267404,11,9,2,3,5,4,0,0,0,2,39,0
377,0,4,35633,15,10,4,12,1,4,1,0,0,2,39,0
378,3,6,80914,12,14,0,4,1,4,1,0,0,1,39,0
379,2,4,172927,11,9,2,12,0,4,1,0,0,3,39,0
380,3,4,174319,11,9,0,14,1,4,1,0,0,2,39,0
381,3,4,214955,4,3,0,3,1,4,0,0,4,2,39,0
382,0,4,344991,15,10,2,3,0,4,1,0,0,2,39,0
383,3,4,108699,15,10,0,12,1,4,0,0,0,2,39,0
384,2,2,117312,15,10,2,14,5,4,0,0,0,2,39,0
385,0,4,396099,11,9,4,8,1,4,0,0,0,1,39,0
386,1,4,134152,11,9,5,7,1,4,1,0,0,2,39,0
387,2,4,162028,15,10,2,1,5,4,0,0,4,0,39,1
388,0,4,25429,15,10,4,1,3,4,0,0,0,0,39,0
389,0,4,232392,11,9,4,8,2,4,0,0,0,2,39,0
390,1,4,220098,11,9,2,8,5,4,0,0,0,2,39,1
391,1,4,301302,9,13,4,3,1,4,1,0,0,3,39,0
392,3,6,277946,7,12,5,3,1,4,1,0,0,2,39,0
393,1,7,98101,9,13,2,4,0,4,1,3,0,2,0,1
394,1,4,196164,11,9,4,8,1,4,0,0,0,1,39,0
395,2,4,115562,15,10,2,13,0,4,1,0,0,2,39,0
396,2,4,96975,15,10,0,6,4,4,0,0,0,2,39,0
397,0,0,137300,11,9,4,0,2,4,0,0,0,1,39,0
398,0,4,86872,9,13,2,4,0,4,1,0,0,3,39,1
399,3,5,132178,9,13,2,4,0,4,1,0,0,3,39,1
400,0,4,416103,15,10,4,6,3,4,1,0,0,2,39,0
401,1,4,108574,15,10,4,8,1,4,0,0,0,2,39,0
402,3,7,288353,9,13,2,11,0,4,1,0,0,2,39,1
403,1,4,227689,8,11,0,13,1,4,0,0,0,4,39,0
404,1,4,166481,5,4,2,6,0,3,1,0,3,2,33,0
405,2,4,445382,12,14,2,4,0,4,1,0,3,4,39,1
406,1,4,110145,11,9,2,1,0,4,1,0,0,2,39,0
407,3,6,317253,11,9,2,3,0,4,1,0,0,1,39,0
408,1,0,123147,15,10,2,0,5,4,0,0,2,2,39,1
409,1,4,364657,15,10,2,4,0,4,1,0,0,3,39,0
410,2,2,42346,15,10,0,8,1,2,0,0,0,1,39,0
411,0,4,241951,11,9,4,6,4,2,0,0,0,2,39,0
412,1,4,118500,15,10,0,4,4,4,0,0,0,2,39,0
413,3,4,188386,10,16,2,4,0,4,1,4,0,3,39,1
414,1,7,1033222,15,10,2,7,0,4,1,0,0,2,39,0
415,1,4,92440,2,8,0,3,1,4,1,0,0,3,39,1
416,3,4,190762,3,2,2,7,0,4,1,0,0,2,26,0
417,1,4,426017,1,7,4,8,3,4,0,0,0,0,39,0
418,1,2,243867,1,7,5,7,1,2,1,0,0,2,39,0
419,1,7,240283,11,9,0,14,4,4,0,0,0,2,39,0
